Time,NumberObject,TypeObject,Positions
2022-06-30 20:39:30.965069,2,license_plate,"[(1411.0, 762.0, 1534.0, 803.0), (839.0, 695.0, 952.0, 724.0)]"
2022-06-30 20:39:31.971792,2,license_plate,"[(1412.0, 764.0, 1533.0, 803.0), (835.0, 694.0, 951.0, 724.0)]"
2022-06-30 20:39:32.663940,1,license_plate,"[(1407.0, 765.0, 1532.0, 805.0)]"
2022-06-30 20:39:33.270614,1,license_plate,"[(1407.0, 767.0, 1530.0, 804.0)]"
2022-06-30 20:39:33.898207,1,license_plate,"[(1407.0, 767.0, 1530.0, 804.0)]"
2022-06-30 20:39:34.502591,1,license_plate,"[(840.0, 698.0, 948.0, 727.0)]"
2022-06-30 20:39:35.126444,1,license_plate,"[(1403.0, 767.0, 1532.0, 806.0)]"
2022-06-30 20:39:35.726376,1,license_plate,"[(1403.0, 771.0, 1525.0, 811.0)]"
2022-06-30 20:39:36.318792,1,license_plate,"[(1401.0, 769.0, 1523.0, 813.0)]"
2022-06-30 20:39:38.168816,1,license_plate,"[(1395.0, 772.0, 1525.0, 812.0)]"
2022-06-30 20:39:38.772202,1,license_plate,"[(1395.0, 772.0, 1519.0, 814.0)]"
2022-06-30 20:39:39.362625,1,license_plate,"[(1387.0, 773.0, 1521.0, 814.0)]"
2022-06-30 20:39:40.049002,1,license_plate,"[(1385.0, 773.0, 1515.0, 816.0)]"
2022-06-30 20:39:42.496991,1,license_plate,"[(1378.0, 775.0, 1513.0, 818.0)]"
2022-06-30 20:39:43.130084,1,license_plate,"[(822.0, 695.0, 931.0, 728.0)]"
2022-06-30 20:39:46.241104,1,license_plate,"[(1371.0, 779.0, 1500.0, 821.0)]"
2022-06-30 20:39:46.881648,1,license_plate,"[(1367.0, 780.0, 1499.0, 823.0)]"
2022-06-30 20:39:47.495069,1,license_plate,"[(1364.0, 779.0, 1499.0, 821.0)]"
2022-06-30 20:39:48.129362,1,license_plate,"[(1360.0, 780.0, 1496.0, 823.0)]"
2022-06-30 20:39:48.736371,1,license_plate,"[(1360.0, 780.0, 1497.0, 823.0)]"
2022-06-30 20:39:49.320342,2,license_plate,"[(797.0, 688.0, 923.0, 718.0), (1360.0, 781.0, 1493.0, 822.0)]"
2022-06-30 20:39:49.930212,1,license_plate,"[(1344.0, 779.0, 1497.0, 826.0)]"
2022-06-30 20:39:50.562650,1,license_plate,"[(1341.0, 778.0, 1495.0, 829.0)]"
2022-06-30 20:39:51.159597,1,license_plate,"[(1339.0, 783.0, 1492.0, 826.0)]"
2022-06-30 20:39:51.775949,1,license_plate,"[(1335.0, 782.0, 1485.0, 828.0)]"
2022-06-30 20:39:52.392056,1,license_plate,"[(1334.0, 782.0, 1485.0, 828.0)]"
2022-06-30 20:39:53.017383,1,license_plate,"[(1332.0, 783.0, 1487.0, 829.0)]"
2022-06-30 20:39:53.623800,1,license_plate,"[(1329.0, 786.0, 1485.0, 829.0)]"
2022-06-30 20:39:54.229696,1,license_plate,"[(1336.0, 788.0, 1475.0, 834.0)]"
2022-06-30 20:39:54.849039,1,license_plate,"[(1324.0, 790.0, 1470.0, 833.0)]"
2022-06-30 20:39:55.467819,2,license_plate,"[(1321.0, 789.0, 1469.0, 835.0), (781.0, 687.0, 898.0, 718.0)]"
2022-06-30 20:39:56.237764,2,license_plate,"[(1321.0, 789.0, 1469.0, 835.0), (781.0, 687.0, 898.0, 718.0)]"
2022-06-30 20:39:57.482214,2,license_plate,"[(1319.0, 788.0, 1469.0, 837.0), (780.0, 686.0, 899.0, 717.0)]"
2022-06-30 20:39:58.424587,2,license_plate,"[(1316.0, 789.0, 1464.0, 834.0), (779.0, 686.0, 895.0, 716.0)]"
2022-06-30 20:39:59.252769,2,license_plate,"[(1317.0, 788.0, 1464.0, 836.0), (778.0, 684.0, 894.0, 716.0)]"
2022-06-30 20:40:00.004245,2,license_plate,"[(1310.0, 787.0, 1460.0, 838.0), (778.0, 683.0, 895.0, 715.0)]"
2022-06-30 20:40:01.238114,2,license_plate,"[(1305.0, 787.0, 1457.0, 838.0), (771.0, 681.0, 891.0, 715.0)]"
2022-06-30 20:40:02.440826,2,license_plate,"[(1305.0, 787.0, 1457.0, 838.0), (772.0, 681.0, 891.0, 715.0)]"
2022-06-30 20:40:03.634284,2,license_plate,"[(1303.0, 786.0, 1455.0, 840.0), (765.0, 681.0, 892.0, 714.0)]"
2022-06-30 20:40:04.913420,2,license_plate,"[(1299.0, 786.0, 1452.0, 840.0), (760.0, 680.0, 885.0, 714.0)]"
2022-06-30 20:40:06.146859,2,license_plate,"[(1293.0, 788.0, 1449.0, 838.0), (757.0, 680.0, 884.0, 712.0)]"
2022-06-30 20:40:07.382892,2,license_plate,"[(1294.0, 789.0, 1444.0, 838.0), (755.0, 678.0, 884.0, 712.0)]"
2022-06-30 20:40:08.678758,2,license_plate,"[(1292.0, 789.0, 1446.0, 839.0), (755.0, 678.0, 881.0, 711.0)]"
2022-06-30 20:40:10.160686,2,license_plate,"[(1292.0, 789.0, 1446.0, 839.0), (755.0, 678.0, 881.0, 711.0)]"
2022-06-30 20:40:11.381519,2,license_plate,"[(1279.0, 788.0, 1439.0, 841.0), (748.0, 677.0, 888.0, 711.0)]"
2022-06-30 20:40:12.554491,2,license_plate,"[(1275.0, 787.0, 1436.0, 842.0), (747.0, 677.0, 886.0, 711.0)]"
2022-06-30 20:40:13.322955,2,license_plate,"[(1273.0, 788.0, 1429.0, 844.0), (746.0, 678.0, 888.0, 712.0)]"
