Time,NumberObject,TypeObject,Positions
2022-07-18 22:31:35.290889,5,car,"[(1199.0, 399.0, 1833.0, 888.0), (639.0, 346.0, 1211.0, 804.0), (1125.0, 379.0, 1253.0, 576.0), (2.0, 440.0, 458.0, 1079.0), (1598.0, 367.0, 1920.0, 692.0)]"
2022-07-18 22:31:35.290889,1,bus,"[(1441.0, 104.0, 1845.0, 422.0)]"
2022-07-18 22:31:35.290889,11,person,"[(1597.0, 454.0, 1712.0, 534.0), (504.0, 405.0, 585.0, 634.0), (2.0, 507.0, 173.0, 632.0), (1242.0, 376.0, 1287.0, 552.0), (1449.0, 466.0, 1521.0, 515.0), (1375.0, 446.0, 1454.0, 518.0), (1277.0, 364.0, 1348.0, 531.0), (1335.0, 368.0, 1378.0, 428.0), (1789.0, 407.0, 1855.0, 458.0), (1286.0, 350.0, 1322.0, 412.0), (1357.0, 389.0, 1396.0, 422.0)]"
2022-07-18 22:31:35.290889,2,truck,"[(0.0, 404.0, 460.0, 1055.0), (1584.0, 363.0, 1920.0, 709.0)]"
2022-07-18 22:31:35.964919,5,car,"[(1199.0, 399.0, 1833.0, 888.0), (639.0, 346.0, 1211.0, 804.0), (1125.0, 379.0, 1253.0, 576.0), (2.0, 440.0, 458.0, 1079.0), (1598.0, 367.0, 1920.0, 692.0)]"
2022-07-18 22:31:35.964919,1,bus,"[(1441.0, 104.0, 1845.0, 423.0)]"
2022-07-18 22:31:35.964919,11,person,"[(1597.0, 454.0, 1712.0, 534.0), (504.0, 405.0, 585.0, 634.0), (2.0, 507.0, 173.0, 632.0), (1242.0, 376.0, 1287.0, 553.0), (1449.0, 466.0, 1521.0, 515.0), (1375.0, 446.0, 1454.0, 518.0), (1277.0, 364.0, 1348.0, 531.0), (1335.0, 368.0, 1378.0, 428.0), (1790.0, 407.0, 1855.0, 458.0), (1286.0, 350.0, 1322.0, 412.0), (1357.0, 389.0, 1396.0, 422.0)]"
2022-07-18 22:31:35.964919,2,truck,"[(0.0, 404.0, 460.0, 1055.0), (1584.0, 363.0, 1920.0, 709.0)]"
2022-07-18 22:31:36.618764,5,car,"[(1194.0, 399.0, 1835.0, 889.0), (641.0, 345.0, 1205.0, 804.0), (1127.0, 379.0, 1255.0, 569.0), (1598.0, 366.0, 1920.0, 690.0), (2.0, 439.0, 450.0, 1080.0)]"
2022-07-18 22:31:36.618764,1,bus,"[(1442.0, 107.0, 1846.0, 425.0)]"
