Time,NumberObject,TypeObject,Positions
2022-07-27 22:27:25.745479,1,person,"[(107.0, 0.0, 639.0, 356.0)]"
2022-07-27 22:27:25.745479,1,tennis racket,"[(378.0, 1.0, 638.0, 249.0)]"
2022-07-27 22:27:26.300996,1,person,"[(105.0, 0.0, 640.0, 356.0)]"
2022-07-27 22:27:26.300996,1,tennis racket,"[(375.0, 1.0, 639.0, 253.0)]"
2022-07-27 22:27:26.868146,1,person,"[(102.0, 0.0, 640.0, 359.0)]"
2022-07-27 22:27:27.522461,1,person,"[(103.0, 0.0, 640.0, 357.0)]"
2022-07-27 22:27:28.112877,1,person,"[(192.0, 0.0, 640.0, 360.0)]"
2022-07-27 22:27:28.671659,1,person,"[(192.0, 0.0, 640.0, 359.0)]"
2022-07-27 22:27:29.326831,1,person,"[(192.0, 0.0, 640.0, 360.0)]"
2022-07-27 22:27:29.867385,1,person,"[(190.0, 1.0, 640.0, 358.0)]"
2022-07-27 22:27:30.420204,1,person,"[(217.0, 2.0, 640.0, 356.0)]"
2022-07-27 22:27:30.966260,1,person,"[(218.0, 3.0, 640.0, 356.0)]"
2022-07-27 22:27:31.515794,1,person,"[(216.0, 3.0, 640.0, 356.0)]"
2022-07-27 22:27:32.066615,1,person,"[(219.0, 3.0, 640.0, 356.0)]"
2022-07-27 22:27:32.630068,1,person,"[(219.0, 3.0, 640.0, 356.0)]"
2022-07-27 22:27:33.226473,1,person,"[(218.0, 5.0, 634.0, 353.0)]"
2022-07-27 22:27:33.798904,1,person,"[(217.0, 5.0, 634.0, 354.0)]"
2022-07-27 22:27:34.346440,1,person,"[(216.0, 5.0, 636.0, 353.0)]"
2022-07-27 22:27:34.905949,1,person,"[(214.0, 5.0, 635.0, 354.0)]"
2022-07-27 22:27:35.460511,1,person,"[(285.0, 0.0, 640.0, 360.0)]"
2022-07-27 22:27:35.460511,1,tvmonitor,"[(5.0, 0.0, 633.0, 360.0)]"
2022-07-27 22:27:36.020523,1,person,"[(281.0, 0.0, 640.0, 360.0)]"
2022-07-27 22:27:36.020523,1,tvmonitor,"[(4.0, 0.0, 633.0, 360.0)]"
2022-07-27 22:27:36.579904,1,person,"[(281.0, 0.0, 640.0, 360.0)]"
2022-07-27 22:27:36.579904,1,tvmonitor,"[(11.0, 0.0, 627.0, 360.0)]"
2022-07-27 22:27:37.138112,1,person,"[(281.0, 0.0, 640.0, 360.0)]"
2022-07-27 22:27:37.709585,1,person,"[(326.0, 0.0, 638.0, 360.0)]"
2022-07-27 22:27:38.293860,1,person,"[(326.0, 0.0, 636.0, 360.0)]"
2022-07-27 22:27:38.898287,1,person,"[(327.0, 0.0, 633.0, 360.0)]"
2022-07-27 22:27:38.898287,1,toothbrush,"[(533.0, 209.0, 634.0, 360.0)]"
2022-07-27 22:27:39.456895,1,person,"[(311.0, 0.0, 640.0, 360.0)]"
2022-07-27 22:27:40.015911,1,person,"[(308.0, 0.0, 640.0, 360.0)]"
2022-07-27 22:27:40.576940,1,person,"[(309.0, 0.0, 640.0, 359.0)]"
2022-07-27 22:27:41.138950,1,person,"[(309.0, 0.0, 640.0, 359.0)]"
2022-07-27 22:27:41.701654,1,person,"[(303.0, 0.0, 639.0, 360.0)]"
2022-07-27 22:27:42.269644,1,person,"[(302.0, 0.0, 640.0, 360.0)]"
2022-07-27 22:27:42.850609,1,person,"[(302.0, 0.0, 639.0, 360.0)]"
2022-07-27 22:27:43.436554,1,person,"[(301.0, 0.0, 640.0, 360.0)]"
2022-07-27 22:27:44.002042,1,person,"[(265.0, 0.0, 640.0, 360.0)]"
2022-07-27 22:27:44.568572,1,person,"[(265.0, 0.0, 640.0, 360.0)]"
2022-07-27 22:27:45.135327,1,person,"[(265.0, 0.0, 640.0, 359.0)]"
2022-07-27 22:27:45.702810,1,person,"[(265.0, 0.0, 640.0, 360.0)]"
2022-07-27 22:27:46.275123,1,person,"[(265.0, 0.0, 640.0, 360.0)]"
2022-07-27 22:27:46.846092,1,person,"[(40.0, 2.0, 487.0, 359.0)]"
2022-07-27 22:27:47.427536,1,person,"[(45.0, 1.0, 486.0, 359.0)]"
2022-07-27 22:27:48.028316,2,person,"[(1.0, 0.0, 214.0, 360.0), (173.0, 56.0, 457.0, 360.0)]"
2022-07-27 22:27:48.612281,2,person,"[(0.0, 0.0, 211.0, 360.0), (167.0, 73.0, 481.0, 359.0)]"
2022-07-27 22:27:49.188182,2,person,"[(0.0, 0.0, 210.0, 360.0), (168.0, 74.0, 480.0, 359.0)]"
2022-07-27 22:27:49.766479,2,person,"[(0.0, 0.0, 212.0, 360.0), (166.0, 75.0, 481.0, 359.0)]"
2022-07-27 22:27:50.374852,1,person,"[(149.0, 90.0, 491.0, 360.0)]"
2022-07-27 22:27:50.951914,1,person,"[(145.0, 90.0, 499.0, 360.0)]"
2022-07-27 22:27:51.535893,1,person,"[(149.0, 91.0, 495.0, 360.0)]"
2022-07-27 22:27:52.107878,1,person,"[(160.0, 97.0, 480.0, 360.0)]"
2022-07-27 22:27:52.686358,1,person,"[(154.0, 113.0, 471.0, 359.0)]"
2022-07-27 22:27:53.285267,1,person,"[(154.0, 111.0, 471.0, 359.0)]"
2022-07-27 22:27:53.876685,1,person,"[(151.0, 114.0, 474.0, 358.0)]"
2022-07-27 22:27:54.453753,1,person,"[(159.0, 127.0, 473.0, 360.0)]"
2022-07-27 22:27:55.032205,1,person,"[(156.0, 127.0, 483.0, 359.0)]"
2022-07-27 22:27:55.609661,2,person,"[(202.0, 134.0, 453.0, 359.0), (413.0, 6.0, 639.0, 357.0)]"
2022-07-27 22:27:56.183642,2,person,"[(202.0, 136.0, 454.0, 358.0), (412.0, 5.0, 640.0, 357.0)]"
2022-07-27 22:27:56.760101,2,person,"[(213.0, 152.0, 444.0, 360.0), (407.0, 1.0, 640.0, 360.0)]"
2022-07-27 22:27:57.334967,2,person,"[(213.0, 153.0, 447.0, 359.0), (409.0, 4.0, 640.0, 360.0)]"
2022-07-27 22:27:57.930375,2,person,"[(215.0, 154.0, 445.0, 359.0), (406.0, 4.0, 640.0, 360.0)]"
2022-07-27 22:27:58.527799,1,person,"[(233.0, 154.0, 410.0, 360.0)]"
2022-07-27 22:27:59.105094,1,person,"[(229.0, 153.0, 406.0, 360.0)]"
2022-07-27 22:27:59.674572,1,person,"[(208.0, 13.0, 532.0, 356.0)]"
2022-07-27 22:28:00.255072,1,person,"[(208.0, 13.0, 534.0, 355.0)]"
2022-07-27 22:28:00.852522,1,person,"[(210.0, 11.0, 537.0, 355.0)]"
2022-07-27 22:28:01.402052,1,person,"[(190.0, 3.0, 568.0, 360.0)]"
2022-07-27 22:28:01.982945,1,person,"[(188.0, 5.0, 569.0, 360.0)]"
2022-07-27 22:28:02.612477,1,person,"[(219.0, 104.0, 516.0, 359.0)]"
2022-07-27 22:28:03.199424,1,person,"[(218.0, 107.0, 523.0, 360.0)]"
2022-07-27 22:28:03.819812,1,person,"[(217.0, 109.0, 517.0, 360.0)]"
2022-07-27 22:28:04.366396,1,person,"[(193.0, 113.0, 451.0, 360.0)]"
2022-07-27 22:28:04.915927,2,person,"[(153.0, 120.0, 469.0, 359.0), (0.0, 102.0, 112.0, 357.0)]"
2022-07-27 22:28:05.511094,2,person,"[(148.0, 119.0, 476.0, 359.0), (0.0, 103.0, 113.0, 355.0)]"
2022-07-27 22:28:06.155890,2,person,"[(148.0, 120.0, 477.0, 360.0), (0.0, 101.0, 112.0, 358.0)]"
2022-07-27 22:28:06.705421,1,person,"[(145.0, 97.0, 493.0, 360.0)]"
2022-07-27 22:28:07.257206,1,person,"[(153.0, 99.0, 490.0, 360.0)]"
2022-07-27 22:28:07.820697,1,person,"[(150.0, 99.0, 492.0, 360.0)]"
2022-07-27 22:28:08.408507,1,person,"[(81.0, 98.0, 463.0, 360.0)]"
2022-07-27 22:28:09.073726,2,person,"[(97.0, 79.0, 451.0, 358.0), (0.0, 0.0, 160.0, 360.0)]"
2022-07-27 22:28:09.651182,2,person,"[(105.0, 79.0, 448.0, 357.0), (0.0, 0.0, 166.0, 360.0)]"
2022-07-27 22:28:10.347042,2,person,"[(102.0, 80.0, 448.0, 357.0), (0.0, 0.0, 164.0, 360.0)]"
2022-07-27 22:28:10.917053,2,person,"[(97.0, 72.0, 439.0, 360.0), (0.0, 8.0, 177.0, 360.0)]"
2022-07-27 22:28:11.516450,2,person,"[(98.0, 71.0, 438.0, 360.0), (0.0, 6.0, 181.0, 360.0)]"
2022-07-27 22:28:12.084930,2,person,"[(94.0, 68.0, 443.0, 360.0), (0.0, 4.0, 179.0, 360.0)]"
2022-07-27 22:28:12.692305,1,person,"[(87.0, 56.0, 447.0, 355.0)]"
2022-07-27 22:28:13.290705,1,cell phone,"[(321.0, 240.0, 380.0, 296.0)]"
2022-07-27 22:28:13.290705,1,person,"[(173.0, 56.0, 368.0, 358.0)]"
2022-07-27 22:28:13.951939,2,person,"[(156.0, 52.0, 379.0, 358.0), (510.0, 0.0, 640.0, 360.0)]"
